F, epochs, epsilon, B, weightcost, momentum, trRSME, vlRSME
4, 21, 0.01, 20, 0.0005, 0.5, 1.01829886976, 1.15501977211
4, 22, 0.01, 20, 0.0005, 0.5, 1.0187545617, 1.15694612493
4, 23, 0.01, 20, 0.0005, 0.5, 1.0138075764, 1.15428074394
4, 24, 0.01, 20, 0.0005, 0.5, 1.01263555271, 1.1605066697
4, 25, 0.01, 20, 0.0005, 0.5, 1.01141518441, 1.16493107733
4, 26, 0.01, 20, 0.0005, 0.5, 1.00500030516, 1.16064110521
4, 27, 0.01, 20, 0.0005, 0.5, 1.00025823308, 1.17319572069
4, 28, 0.01, 20, 0.0005, 0.5, 0.999685156414, 1.18664849841
4, 29, 0.01, 20, 0.0005, 0.5, 0.994129042455, 1.19131627349
4, 30, 0.01, 20, 0.0005, 0.5, 0.993457793053, 1.19515146517
4, 31, 0.01, 20, 0.0005, 0.5, 0.996294742649, 1.19578197839
4, 32, 0.01, 20, 0.0005, 0.5, 0.99717242722, 1.200616361
4, 33, 0.01, 20, 0.0005, 0.5, 0.995154686546, 1.20141315964
4, 34, 0.01, 20, 0.0005, 0.5, 0.994955613785, 1.2076397598
4, 35, 0.01, 20, 0.0005, 0.5, 0.989010647375, 1.20776968903
4, 36, 0.01, 20, 0.0005, 0.5, 0.991039190986, 1.20496751493
4, 37, 0.01, 20, 0.0005, 0.5, 0.991129659805, 1.21331116573
4, 38, 0.01, 20, 0.0005, 0.5, 0.989109501762, 1.20965579237
4, 39, 0.01, 20, 0.0005, 0.5, 0.98880298201, 1.21523173424
4, 40, 0.01, 20, 0.0005, 0.5, 0.991191234159, 1.20298758872
4, 41, 0.01, 20, 0.0005, 0.5, 0.988560040814, 1.20838450247
4, 42, 0.01, 20, 0.0005, 0.5, 0.987507158401, 1.21173401303
4, 43, 0.01, 20, 0.0005, 0.5, 0.985225629066, 1.21496166168
4, 44, 0.01, 20, 0.0005, 0.5, 0.988873933022, 1.21654325631
4, 45, 0.01, 20, 0.0005, 0.5, 0.985650381066, 1.19959071655
4, 46, 0.01, 20, 0.0005, 0.5, 0.984656645897, 1.20810951641
4, 47, 0.01, 20, 0.0005, 0.5, 0.985862674799, 1.20522619788
4, 48, 0.01, 20, 0.0005, 0.5, 0.989617667104, 1.2093775586
4, 49, 0.01, 20, 0.0005, 0.5, 0.980852923331, 1.20287568582
4, 1, 0.01, 20, 0.001, 0.3, 1.16187710863, 1.21062692801
4, 2, 0.01, 20, 0.001, 0.3, 1.12805297649, 1.17830955776
4, 3, 0.01, 20, 0.001, 0.3, 1.08445796216, 1.15474169915
4, 4, 0.01, 20, 0.001, 0.3, 1.0652196967, 1.14624811138
4, 5, 0.01, 20, 0.001, 0.3, 1.05883555329, 1.15641110073
4, 6, 0.01, 20, 0.001, 0.3, 1.04790166614, 1.14970807239
4, 7, 0.01, 20, 0.001, 0.3, 1.03973064006, 1.15425499595
4, 8, 0.01, 20, 0.001, 0.3, 1.0394391987, 1.15744099024
4, 9, 0.01, 20, 0.001, 0.3, 1.03452832174, 1.1727085425
4, 10, 0.01, 20, 0.001, 0.3, 1.02918828673, 1.17399644138
4, 11, 0.01, 20, 0.001, 0.3, 1.02333876405, 1.16758085315
4, 12, 0.01, 20, 0.001, 0.3, 1.02007580464, 1.15409602877
4, 13, 0.01, 20, 0.001, 0.3, 1.02799419001, 1.15409872605
4, 14, 0.01, 20, 0.001, 0.3, 1.03081257742, 1.14921338073
4, 15, 0.01, 20, 0.001, 0.3, 1.02703464743, 1.15072077792
4, 16, 0.01, 20, 0.001, 0.3, 1.0242217742, 1.15860691154
4, 17, 0.01, 20, 0.001, 0.3, 1.02271310628, 1.14793586079
4, 18, 0.01, 20, 0.001, 0.3, 1.02351762162, 1.15174225423
4, 19, 0.01, 20, 0.001, 0.3, 1.01902889846, 1.14685905885
4, 20, 0.01, 20, 0.001, 0.3, 1.01928527813, 1.15021188387
4, 21, 0.01, 20, 0.001, 0.3, 1.01358809905, 1.16596348148
4, 22, 0.01, 20, 0.001, 0.3, 1.00595676966, 1.16020061335
4, 23, 0.01, 20, 0.001, 0.3, 1.00860571791, 1.1610567291
4, 24, 0.01, 20, 0.001, 0.3, 1.01362829425, 1.17264028171
4, 25, 0.01, 20, 0.001, 0.3, 1.00528993618, 1.18147401743
4, 26, 0.01, 20, 0.001, 0.3, 1.011103562, 1.18460004438
4, 27, 0.01, 20, 0.001, 0.3, 1.00549604152, 1.18826045933
4, 28, 0.01, 20, 0.001, 0.3, 1.01015425032, 1.18284612067
4, 29, 0.01, 20, 0.001, 0.3, 1.00424183461, 1.19893525243
4, 30, 0.01, 20, 0.001, 0.3, 1.0056988859, 1.18943181819
4, 31, 0.01, 20, 0.001, 0.3, 1.0126421627, 1.19433680194
4, 32, 0.01, 20, 0.001, 0.3, 1.00760740083, 1.19684664118
4, 33, 0.01, 20, 0.001, 0.3, 1.00440016749, 1.19280401815
4, 34, 0.01, 20, 0.001, 0.3, 1.00311068714, 1.20138436023
4, 35, 0.01, 20, 0.001, 0.3, 1.0024127089, 1.20663750834
4, 36, 0.01, 20, 0.001, 0.3, 1.00227073439, 1.21193155941
4, 37, 0.01, 20, 0.001, 0.3, 0.996464080598, 1.21133090533
4, 38, 0.01, 20, 0.001, 0.3, 0.997760356879, 1.21001172333
4, 39, 0.01, 20, 0.001, 0.3, 0.993378000494, 1.21595189993
4, 40, 0.01, 20, 0.001, 0.3, 0.993923567238, 1.22444232353
4, 41, 0.01, 20, 0.001, 0.3, 0.996836083751, 1.21155659972
4, 42, 0.01, 20, 0.001, 0.3, 0.987247113294, 1.21306467042
4, 43, 0.01, 20, 0.001, 0.3, 0.993145206726, 1.21993307666
4, 44, 0.01, 20, 0.001, 0.3, 0.986737022515, 1.22072298597
4, 45, 0.01, 20, 0.001, 0.3, 0.987514919818, 1.21664467369
4, 46, 0.01, 20, 0.001, 0.3, 0.987227235176, 1.22202011016
4, 47, 0.01, 20, 0.001, 0.3, 0.991959534782, 1.22623356322
4, 48, 0.01, 20, 0.001, 0.3, 0.98927894018, 1.21615655388
4, 49, 0.01, 20, 0.001, 0.3, 0.986517445657, 1.22736387688
4, 1, 0.01, 20, 0.001, 0.5, 1.16936737225, 1.20681209576
4, 2, 0.01, 20, 0.001, 0.5, 1.13597149081, 1.18136268622
4, 3, 0.01, 20, 0.001, 0.5, 1.08780289166, 1.15585089471
4, 4, 0.01, 20, 0.001, 0.5, 1.06873266159, 1.15439008937
4, 5, 0.01, 20, 0.001, 0.5, 1.06115411327, 1.15352383598
4, 6, 0.01, 20, 0.001, 0.5, 1.049680075, 1.15144531489
4, 7, 0.01, 20, 0.001, 0.5, 1.04294950506, 1.1576441732
4, 8, 0.01, 20, 0.001, 0.5, 1.03971691438, 1.1635316989
4, 9, 0.01, 20, 0.001, 0.5, 1.03770973227, 1.1668061655
4, 10, 0.01, 20, 0.001, 0.5, 1.03461601028, 1.16715850611
4, 11, 0.01, 20, 0.001, 0.5, 1.0345643462, 1.16335618162
4, 12, 0.01, 20, 0.001, 0.5, 1.0327343671, 1.16301598187
4, 13, 0.01, 20, 0.001, 0.5, 1.02776589084, 1.15747970989
4, 14, 0.01, 20, 0.001, 0.5, 1.02930301369, 1.15795847219
4, 15, 0.01, 20, 0.001, 0.5, 1.02954628366, 1.16175945549
4, 16, 0.01, 20, 0.001, 0.5, 1.02636210546, 1.1676070329
4, 17, 0.01, 20, 0.001, 0.5, 1.02336021762, 1.17154018499
4, 18, 0.01, 20, 0.001, 0.5, 1.02205867534, 1.18101987955
4, 19, 0.01, 20, 0.001, 0.5, 1.01926931548, 1.16253795846
4, 20, 0.01, 20, 0.001, 0.5, 1.02167796353, 1.17563715779
4, 21, 0.01, 20, 0.001, 0.5, 1.02556393925, 1.18224707605
4, 22, 0.01, 20, 0.001, 0.5, 1.02168140843, 1.18877871392
4, 23, 0.01, 20, 0.001, 0.5, 1.01598404506, 1.19169290482
4, 24, 0.01, 20, 0.001, 0.5, 1.0084025665, 1.20139005799
4, 25, 0.01, 20, 0.001, 0.5, 1.01039424485, 1.20305010934
4, 26, 0.01, 20, 0.001, 0.5, 1.00384353417, 1.21315464336
4, 27, 0.01, 20, 0.001, 0.5, 1.00220948116, 1.21016246861
4, 28, 0.01, 20, 0.001, 0.5, 1.00040582066, 1.2174772887
4, 29, 0.01, 20, 0.001, 0.5, 0.99221951552, 1.21196866613
4, 30, 0.01, 20, 0.001, 0.5, 0.992532678177, 1.20895379045
4, 31, 0.01, 20, 0.001, 0.5, 0.984903997934, 1.21561364285
4, 32, 0.01, 20, 0.001, 0.5, 0.985728350859, 1.20701792615
4, 33, 0.01, 20, 0.001, 0.5, 0.981362623703, 1.20406122779
4, 34, 0.01, 20, 0.001, 0.5, 0.98253668383, 1.21102294036
4, 35, 0.01, 20, 0.001, 0.5, 0.983232829441, 1.22332395157
4, 36, 0.01, 20, 0.001, 0.5, 0.97900737026, 1.19776364526
4, 37, 0.01, 20, 0.001, 0.5, 0.978799553674, 1.21186973746
4, 38, 0.01, 20, 0.001, 0.5, 0.976266255936, 1.21758114235
4, 39, 0.01, 20, 0.001, 0.5, 0.982217409708, 1.22561484663
4, 40, 0.01, 20, 0.001, 0.5, 0.978143828162, 1.22479117755
4, 41, 0.01, 20, 0.001, 0.5, 0.970418456158, 1.22039278592
4, 42, 0.01, 20, 0.001, 0.5, 0.974576383231, 1.22000365327
4, 43, 0.01, 20, 0.001, 0.5, 0.971685474819, 1.22129795981
4, 44, 0.01, 20, 0.001, 0.5, 0.969857307474, 1.22857039903
